english_title,tibetan_title,sanskrit_title,author_english,author_tibetan,canon,short_description,thumbnail_cover,canon_division,volumes,toh_numbers,color,dark_color
"Discipline","འདུལ་བ།","Vinaya","Buddha Shakyamuni","","Kangyur","Works focusing primarily on the monastic rules and their origins, but also containing a wealth of historical, biographical, and cultural material.","/textCovers/buddha-sakyamuni-outline-600.png","Vinaya","Vols. 1-13","Toh 1-7","bg-blue-950/75","dark:bg-blue-950/75"
"Perfection of Wisdom","ཤེར་ཕྱིན།","Prajñāpāramitā","Buddha Shakyamuni","","Kangyur","The Perfection of Wisdom discourses are classified by Mahāyāna Buddhist tradition as belonging to the Buddha’s second turning of the wheel of Dharma, focusing on the importance of not attributing any characteristics of true existence to phenomena, even those of the path or the qualities of awakening.","/prajnaparamita-outline-600.png","Discourses","Vols. 14-33","Toh 8-30","bg-yellow-950/70","dark:bg-yellow-950/70"
"Thirteen Theravāda Sūtras","གསར་འགྱུར།","Theravāda Sūtra","Buddha Shakyamuni","","Kangyur","A group of Theravāda sūtras translated into Tibetan in the 14th century.","/textCovers/buddha-sakyamuni-outline-600.png","Discourses","Vol. 34","Toh 31-43","bg-yellow-950/70","dark:bg-yellow-950/70"
"A Multitude of Buddhas","ཕལ་ཆེན།","Buddhāvataṃsaka","Buddha Shakyamuni","","Kangyur","A long sūtra consisting of 45 chapters, some of which have circulated independently but with a coherent style and theme, classified by Tibetan editors as belonging to the Buddha’s third turning of the wheel of Dharma.","/textCovers/buddha-sakyamuni-outline-600.png","Discourses","Vols. xx-xx","Toh 44","bg-yellow-950/70","dark:bg-yellow-950/70"
"Heap of Jewels","དཀོན་བརྩེགས།","Ratnakūṭa","Buddha Shakyamuni","","Kangyur","The Heap of Jewels is a compilation of forty-nine sūtras. Present in both the Tibetan Kangyur and Chinese Tripiṭaka, it covers a wide range of subjects with diverse origins.","/textCovers/buddha-sakyamuni-outline-600.png","Discourses","Vols. xx-xx","Tok 45-93","bg-yellow-950/70","dark:bg-yellow-950/70"
"General Sūtra Collection","མདོ་སྡེ།","Sūtra","Buddha Shakyamuni","","Kangyur","This large section of the Kangyur is also sometimes called mdo mang (“the many sūtras”) or mdo sna tshogs (“miscellaneous sūtras”). In the Degé Kangyur it contains 266 works, while in other Kangyurs the contents and their order vary somewhat. The texts range in length from a few lines to more than 2,000 pages.","/textCovers/buddha-sakyamuni-outline-600.png","Discourses","Vols. xx-xx","Toh 94-359","bg-yellow-950/70","dark:bg-yellow-950/70"
"Tantra Collection","རྒྱུད་འབུམ།","Tantra","Buddha Shakyamuni","","Kangyur","The principal tantra collection of the Kangyur, consisting of 468 canonical tantras mainly from the “later spread” of Vajrayāna to Tibet, is organized into four levels of tantra and concluding dedication prayers, studied and practiced primarily by the New Schools.","/textCovers/buddha-sakyamuni-outline-600.png","Tantra","Vols. xx-xx","Toh 360-827","bg-red-900/75","dark:bg-red-900/75"
"Nyingma Tantra","རྙིང་རྒྱུད།","Pratantra","Buddha Shakyamuni","","Kangyur","Seventeen works representing a small selection of the many tantras of the Ngagyur Nyingma (“earlier translation”) tradition. This section of the Kangyur contains a small selection of the tantras belonging to the three main “inner tantra” categories and translated in the early, “imperial” period of translation in Tibet (i.e. the eighth and early ninth centuries, prior to the mid ninth century disintegration of the empire).","/textCovers/buddha-sakyamuni-outline-600.png","Tantra","Vols. xx-xx","Toh 828-844","bg-red-900/75","dark:bg-red-900/75"
"Wheel of Time Commentary","དུས་འཁོར་འགྲེལ་བཤད།","Kālacakra­ṭīkā (Vimala­prabhā)","King Puṇḍarīka","","Kangyur","The Vimalaprabhā, a commentary on the Kālacakratantra by King Puṇḍarīka, included in its own section in the Degé Kangyur, despite being a treatise rather than Buddha-word. This section is one of the traditional primary divisions of the Degé Kangyur, despite only containing a single text which is not, strictly speaking, Buddha-word, being a treatise. The Lithang, Degé, and Urga Kangyurs include this text, which in most other cases is found only in the Tengyur.","/textCovers/buddha-sakyamuni-outline-600.png","Tantra","Vols. xx-xx","Toh 845","bg-red-900/75","dark:bg-red-900/75"
"Dhāraṇī Collection","གཟུངས་འབུམ།","Dhāraṇī","Buddha Shakyamuni","","Kangyur","The collection of dhāraṇī in two subdivisions: 250 dhāraṇī texts themselves, and a small group of 15 dedication and aspiration prayers (Toh 846–1108): The Compendium of Dhāraṇīs (Toh 846–1093), and Aspiration (Toh 1094–1108)","/textCovers/buddha-sakyamuni-outline-600.png","Dhāraṇī","Vols. xx-xx","Toh 846-1108","bg-green-950/75","dark:bg-green-950/75"
"Degé Kangyur Catalog","བཀའ་འགྱུར་དཀར་ཆག","","Situ Paṇchen Chökyi Jungné","","Kangyur","Situ Paṇchen Chökyi Jungné’s comprehensive historical and descriptive catalog, detailing the scriptures’ history, translation, compilation, and indexing, with the last section dedicated to explaining the publication's significance and a concluding verse dedication.","/pecha-offering-outline-600.png","Catalog","Vols. 102","Toh 4568","bg-gray-900/75","dark:bg-gray-900/75"
